,station_name,date,entry_exit,tapcount,DLR,tube,NR,EL,Overground
81,Acton Main Line,2019-11-30,Entry,16395,False,False,False,True,False
82,Acton Main Line,2019-10-31,Entry,16328,False,False,False,True,False
83,Acton Main Line,2019-09-30,Entry,14428,False,False,False,True,False
84,Acton Main Line,2019-04-30,Exit,9916,False,False,False,True,False
85,Acton Main Line,2019-08-31,Exit,11953,False,False,False,True,False
86,Acton Main Line,2019-12-31,Exit,10248,False,False,False,True,False
87,Acton Main Line,2019-02-28,Exit,9281,False,False,False,True,False
88,Acton Main Line,2019-01-31,Exit,9963,False,False,False,True,False
89,Acton Main Line,2019-07-31,Exit,12755,False,False,False,True,False
90,Acton Main Line,2019-06-30,Exit,11648,False,False,False,True,False
91,Acton Main Line,2019-03-31,Exit,10575,False,False,False,True,False
92,Acton Main Line,2019-05-31,Exit,10907,False,False,False,True,False
93,Acton Main Line,2019-11-30,Exit,13329,False,False,False,True,False
94,Acton Main Line,2019-10-31,Exit,14201,False,False,False,True,False
95,Acton Main Line,2019-09-30,Exit,12453,False,False,False,True,False
96,Acton Town,2019-04-30,Entry,233611,False,True,False,False,False
97,Acton Town,2019-08-31,Entry,228961,False,True,False,False,False
98,Acton Town,2019-12-31,Entry,229815,False,True,False,False,False
99,Acton Town,2019-02-28,Entry,225840,False,True,False,False,False
100,Acton Town,2019-01-31,Entry,225504,False,True,False,False,False
101,Acton Town,2019-07-31,Entry,271839,False,True,False,False,False
102,Acton Town,2019-06-30,Entry,250838,False,True,False,False,False
103,Acton Town,2019-03-31,Entry,254875,False,True,False,False,False
104,Acton Town,2019-05-31,Entry,234666,False,True,False,False,False
105,Acton Town,2019-11-30,Entry,265416,False,True,False,False,False
106,Acton Town,2019-10-31,Entry,270431,False,True,False,False,False
107,Acton Town,2019-09-30,Entry,262125,False,True,False,False,False
108,Acton Town,2019-04-30,Exit,238798,False,True,False,False,False
109,Acton Town,2019-08-31,Exit,234170,False,True,False,False,False
110,Acton Town,2019-12-31,Exit,232722,False,True,False,False,False
111,Acton Town,2019-02-28,Exit,228759,False,True,False,False,False
112,Acton Town,2019-01-31,Exit,235313,False,True,False,False,False
113,Acton Town,2019-07-31,Exit,301648,False,True,False,False,False
114,Acton Town,2019-06-30,Exit,257701,False,True,False,False,False
115,Acton Town,2019-03-31,Exit,259976,False,True,False,False,False
116,Acton Town,2019-05-31,Exit,237951,False,True,False,False,False
117,Acton Town,2019-11-30,Exit,269550,False,True,False,False,False
118,Acton Town,2019-10-31,Exit,274165,False,True,False,False,False
119,Acton Town,2019-09-30,Exit,275680,False,True,False,False,False
120,Aldgate,2019-04-30,Entry,367462,False,True,False,False,False
121,Aldgate,2019-08-31,Entry,334259,False,True,False,False,False
122,Aldgate,2019-12-31,Entry,314402,False,True,False,False,False
123,Aldgate,2019-02-28,Entry,350614,False,True,False,False,False
124,Aldgate,2019-01-31,Entry,362691,False,True,False,False,False
125,Aldgate,2019-07-31,Entry,365478,False,True,False,False,False
126,Aldgate,2019-06-30,Entry,383915,False,True,False,False,False
127,Aldgate,2019-03-31,Entry,380267,False,True,False,False,False
128,Aldgate,2019-05-31,Entry,375389,False,True,False,False,False
129,Aldgate,2019-11-30,Entry,394980,False,True,False,False,False
130,Aldgate,2019-10-31,Entry,426688,False,True,False,False,False
131,Aldgate,2019-09-30,Entry,340620,False,True,False,False,False
132,Aldgate,2019-04-30,Exit,401619,False,True,False,False,False
133,Aldgate,2019-08-31,Exit,359933,False,True,False,False,False
134,Aldgate,2019-12-31,Exit,343305,False,True,False,False,False
135,Aldgate,2019-02-28,Exit,381483,False,True,False,False,False
136,Aldgate,2019-01-31,Exit,394114,False,True,False,False,False
137,Aldgate,2019-07-31,Exit,393754,False,True,False,False,False
138,Aldgate,2019-06-30,Exit,412932,False,True,False,False,False
139,Aldgate,2019-03-31,Exit,414038,False,True,False,False,False
140,Aldgate,2019-05-31,Exit,404515,False,True,False,False,False
141,Aldgate,2019-11-30,Exit,425538,False,True,False,False,False
142,Aldgate,2019-10-31,Exit,464902,False,True,False,False,False
143,Aldgate,2019-09-30,Exit,373435,False,True,False,False,False
144,Aldgate East,2019-04-30,Entry,539039,False,True,False,False,False
145,Aldgate East,2019-08-31,Entry,566436,False,True,False,False,False
146,Aldgate East,2019-12-31,Entry,504590,False,True,False,False,False
147,Aldgate East,2019-02-28,Entry,556106,False,True,False,False,False
148,Aldgate East,2019-01-31,Entry,537428,False,True,False,False,False
149,Aldgate East,2019-07-31,Entry,603195,False,True,False,False,False
150,Aldgate East,2019-06-30,Entry,560602,False,True,False,False,False
151,Aldgate East,2019-03-31,Entry,610570,False,True,False,False,False
152,Aldgate East,2019-05-31,Entry,526751,False,True,False,False,False
153,Aldgate East,2019-11-30,Entry,558430,False,True,False,False,False
154,Aldgate East,2019-10-31,Entry,596075,False,True,False,False,False
155,Aldgate East,2019-09-30,Entry,556488,False,True,False,False,False
156,Aldgate East,2019-04-30,Exit,516185,False,True,False,False,False
157,Aldgate East,2019-08-31,Exit,543115,False,True,False,False,False
158,Aldgate East,2019-12-31,Exit,486105,False,True,False,False,False
159,Aldgate East,2019-02-28,Exit,532782,False,True,False,False,False
160,Aldgate East,2019-01-31,Exit,526574,False,True,False,False,False
161,Aldgate East,2019-07-31,Exit,585295,False,True,False,False,False
162,Aldgate East,2019-06-30,Exit,537550,False,True,False,False,False
163,Aldgate East,2019-03-31,Exit,588608,False,True,False,False,False
164,Aldgate East,2019-05-31,Exit,504571,False,True,False,False,False
165,Aldgate East,2019-11-30,Exit,542548,False,True,False,False,False
166,Aldgate East,2019-10-31,Exit,571046,False,True,False,False,False
167,Aldgate East,2019-09-30,Exit,538649,False,True,False,False,False
168,All Saints,2019-04-30,Entry,48230,True,False,False,False,False
169,All Saints,2019-08-31,Entry,48582,True,False,False,False,False
170,All Saints,2019-12-31,Entry,46676,True,False,False,False,False
171,All Saints,2019-02-28,Entry,46629,True,False,False,False,False
172,All Saints,2019-01-31,Entry,48015,True,False,False,False,False
173,All Saints,2019-07-31,Entry,49141,True,False,False,False,False
174,All Saints,2019-06-30,Entry,49565,True,False,False,False,False
175,All Saints,2019-03-31,Entry,49222,True,False,False,False,False
176,All Saints,2019-05-31,Entry,50246,True,False,False,False,False
177,All Saints,2019-11-30,Entry,52742,True,False,False,False,False
178,All Saints,2019-10-31,Entry,54639,True,False,False,False,False
179,All Saints,2019-09-30,Entry,51005,True,False,False,False,False
180,All Saints,2019-04-30,Exit,42316,True,False,False,False,False
181,All Saints,2019-08-31,Exit,42160,True,False,False,False,False
182,All Saints,2019-12-31,Exit,41353,True,False,False,False,False
183,All Saints,2019-02-28,Exit,41774,True,False,False,False,False
184,All Saints,2019-01-31,Exit,43486,True,False,False,False,False
185,All Saints,2019-07-31,Exit,43549,True,False,False,False,False
186,All Saints,2019-06-30,Exit,44036,True,False,False,False,False
187,All Saints,2019-03-31,Exit,43751,True,False,False,False,False
188,All Saints,2019-05-31,Exit,44002,True,False,False,False,False
189,All Saints,2019-11-30,Exit,46591,True,False,False,False,False
190,All Saints,2019-10-31,Exit,47924,True,False,False,False,False
191,All Saints,2019-09-30,Exit,44332,True,False,False,False,False
192,Alperton,2019-04-30,Entry,109836,False,True,False,False,False
193,Alperton,2019-08-31,Entry,110670,False,True,False,False,False
194,Alperton,2019-12-31,Entry,99033,False,True,False,False,False
195,Alperton,2019-02-28,Entry,105529,False,True,False,False,False
196,Alperton,2019-01-31,Entry,103887,False,True,False,False,False
197,Alperton,2019-07-31,Entry,120052,False,True,False,False,False
198,Alperton,2019-06-30,Entry,117472,False,True,False,False,False
199,Alperton,2019-03-31,Entry,119718,False,True,False,False,False
200,Alperton,2019-05-31,Entry,110629,False,True,False,False,False
201,Alperton,2019-11-30,Entry,115811,False,True,False,False,False
202,Alperton,2019-10-31,Entry,123221,False,True,False,False,False
203,Alperton,2019-09-30,Entry,101469,False,True,False,False,False
204,Alperton,2019-04-30,Exit,117145,False,True,False,False,False
205,Alperton,2019-08-31,Exit,117044,False,True,False,False,False
206,Alperton,2019-12-31,Exit,105794,False,True,False,False,False
207,Alperton,2019-02-28,Exit,114207,False,True,False,False,False
208,Alperton,2019-01-31,Exit,114416,False,True,False,False,False
209,Alperton,2019-07-31,Exit,129547,False,True,False,False,False
210,Alperton,2019-06-30,Exit,126546,False,True,False,False,False
211,Alperton,2019-03-31,Exit,129217,False,True,False,False,False
212,Alperton,2019-05-31,Exit,120163,False,True,False,False,False
213,Alperton,2019-11-30,Exit,126056,False,True,False,False,False
214,Alperton,2019-10-31,Exit,135270,False,True,False,False,False
215,Alperton,2019-09-30,Exit,109861,False,True,False,False,False
216,Amersham,2019-04-30,Entry,85857,False,True,True,False,False
217,Amersham,2019-08-31,Entry,83375,False,True,True,False,False
218,Amersham,2019-12-31,Entry,87314,False,True,True,False,False
219,Amersham,2019-02-28,Entry,87459,False,True,True,False,False
220,Amersham,2019-01-31,Entry,87942,False,True,True,False,False
221,Amersham,2019-07-31,Entry,97618,False,True,True,False,False
222,Amersham,2019-06-30,Entry,94986,False,True,True,False,False
223,Amersham,2019-03-31,Entry,94095,False,True,True,False,False
224,Amersham,2019-05-31,Entry,94510,False,True,True,False,False
225,Amersham,2019-11-30,Entry,99761,False,True,True,False,False
226,Amersham,2019-10-31,Entry,102667,False,True,True,False,False
227,Amersham,2019-09-30,Entry,98962,False,True,True,False,False
228,Amersham,2019-04-30,Exit,81349,False,True,True,False,False
229,Amersham,2019-08-31,Exit,79991,False,True,True,False,False
230,Amersham,2019-12-31,Exit,83580,False,True,True,False,False
231,Amersham,2019-02-28,Exit,83994,False,True,True,False,False
232,Amersham,2019-01-31,Exit,85472,False,True,True,False,False
233,Amersham,2019-07-31,Exit,92765,False,True,True,False,False
234,Amersham,2019-06-30,Exit,89991,False,True,True,False,False
235,Amersham,2019-03-31,Exit,90636,False,True,True,False,False
236,Amersham,2019-05-31,Exit,89833,False,True,True,False,False
237,Amersham,2019-11-30,Exit,96894,False,True,True,False,False
238,Amersham,2019-10-31,Exit,98847,False,True,True,False,False
239,Amersham,2019-09-30,Exit,94898,False,True,True,False,False
240,Anerley,2019-04-30,Entry,37716,False,False,False,False,True
241,Anerley,2019-08-31,Entry,38198,False,False,False,False,True
242,Anerley,2019-12-31,Entry,35005,False,False,False,False,True
243,Anerley,2019-02-28,Entry,34793,False,False,False,False,True
244,Anerley,2019-01-31,Entry,36495,False,False,False,False,True
245,Anerley,2019-07-31,Entry,41102,False,False,False,False,True
246,Anerley,2019-06-30,Entry,38421,False,False,False,False,True
247,Anerley,2019-03-31,Entry,39689,False,False,False,False,True
248,Anerley,2019-05-31,Entry,38380,False,False,False,False,True
249,Anerley,2019-11-30,Entry,38448,False,False,False,False,True
250,Anerley,2019-10-31,Entry,43305,False,False,False,False,True
251,Anerley,2019-09-30,Entry,36295,False,False,False,False,True
252,Anerley,2019-04-30,Exit,33232,False,False,False,False,True
253,Anerley,2019-08-31,Exit,33224,False,False,False,False,True
254,Anerley,2019-12-31,Exit,30341,False,False,False,False,True
255,Anerley,2019-02-28,Exit,30887,False,False,False,False,True
256,Anerley,2019-01-31,Exit,32884,False,False,False,False,True
257,Anerley,2019-07-31,Exit,36458,False,False,False,False,True
258,Anerley,2019-06-30,Exit,33703,False,False,False,False,True
259,Anerley,2019-03-31,Exit,35030,False,False,False,False,True
260,Anerley,2019-05-31,Exit,34118,False,False,False,False,True
261,Anerley,2019-11-30,Exit,33929,False,False,False,False,True
262,Anerley,2019-10-31,Exit,38175,False,False,False,False,True
263,Anerley,2019-09-30,Exit,31753,False,False,False,False,True
264,Angel,2019-04-30,Entry,659759,False,True,False,False,False
265,Angel,2019-08-31,Entry,601217,False,True,False,False,False
266,Angel,2019-12-31,Entry,622809,False,True,False,False,False
267,Angel,2019-02-28,Entry,683363,False,True,False,False,False
268,Angel,2019-01-31,Entry,711286,False,True,False,False,False
269,Angel,2019-07-31,Entry,652509,False,True,False,False,False
270,Angel,2019-06-30,Entry,663863,False,True,False,False,False
271,Angel,2019-03-31,Entry,751230,False,True,False,False,False
272,Angel,2019-05-31,Entry,694285,False,True,False,False,False
273,Angel,2019-11-30,Entry,756870,False,True,False,False,False
274,Angel,2019-10-31,Entry,778530,False,True,False,False,False
275,Angel,2019-09-30,Entry,665196,False,True,False,False,False
276,Angel,2019-04-30,Exit,685582,False,True,False,False,False
277,Angel,2019-08-31,Exit,624409,False,True,False,False,False
278,Angel,2019-12-31,Exit,641965,False,True,False,False,False
279,Angel,2019-02-28,Exit,706953,False,True,False,False,False
280,Angel,2019-01-31,Exit,751374,False,True,False,False,False
281,Angel,2019-07-31,Exit,665191,False,True,False,False,False
282,Angel,2019-06-30,Exit,687712,False,True,False,False,False
283,Angel,2019-03-31,Exit,777699,False,True,False,False,False
284,Angel,2019-05-31,Exit,723640,False,True,False,False,False
285,Angel,2019-11-30,Exit,779108,False,True,False,False,False
286,Angel,2019-10-31,Exit,810473,False,True,False,False,False
287,Angel,2019-09-30,Exit,689536,False,True,False,False,False
288,Archway,2019-04-30,Entry,362656,False,True,False,False,False
289,Archway,2019-08-31,Entry,332724,False,True,False,False,False
290,Archway,2019-12-31,Entry,323885,False,True,False,False,False
291,Archway,2019-02-28,Entry,357897,False,True,False,False,False
292,Archway,2019-01-31,Entry,356820,False,True,False,False,False
293,Archway,2019-07-31,Entry,371051,False,True,False,False,False
294,Archway,2019-06-30,Entry,374181,False,True,False,False,False
295,Archway,2019-03-31,Entry,402070,False,True,False,False,False
296,Archway,2019-05-31,Entry,380693,False,True,False,False,False
297,Archway,2019-11-30,Entry,373917,False,True,False,False,False
298,Archway,2019-10-31,Entry,384144,False,True,False,False,False
299,Archway,2019-09-30,Entry,337339,False,True,False,False,False
300,Archway,2019-04-30,Exit,343103,False,True,False,False,False
301,Archway,2019-08-31,Exit,313388,False,True,False,False,False
302,Archway,2019-12-31,Exit,318924,False,True,False,False,False
