line_name,station_id
Metropolitan,uxb982
Piccadilly,uxb982
Victoria,vau716
Circle,vic449
District,vic449
Victoria,vic449
London Overground,wal463
Victoria,wal463
Central,wan258
Northern,war141
Victoria,war141
Bakerloo,war341
Bakerloo,wat559
Jubilee,wat559
Northern,wat559
Waterloo & City,wat559
Metropolitan,wat575
Bakerloo,wem922
London Overground,wem922
Metropolitan,wem863
Jubilee,wem863
Central,wes265
District,wes671
London Overground,wes671
Northern,wes486
District,wes954
DLR,wes954
Hammersmith & City,wes954
Jubilee,wes954
Jubilee,wes259
Metropolitan,wes193
District,wes321
Central,wes608
Circle,wes192
Hammersmith & City,wes192
Circle,wes973
District,wes973
Jubilee,wes973
Central,whi943
District,whi824
Hammersmith & City,whi824
London Overground,whi824
TfL Rail,whi824
Jubilee,wil667
Bakerloo,wil361
London Overground,wil361
District,wim269
District,wim611
Piccadilly,woo472
Circle,woo621
Hammersmith & City,woo621
Central,woo774
Northern,woo214
