station_id,station_name,Longitude,Latitude,Borough
hig428,High Barnet,-0.194165378,51.65168794,Barnet
hig952,High Street Kensington,-0.191566055,51.50072913,Kensington and Chelsea
hig119,Highbury & Islington,-0.1058,51.5465,Islington
hig115,Highgate,-0.146934861,51.57764638,Haringey
hil845,Hillingdon,-0.449897982,51.55377678,Hillingdon
hol670,Holborn,-0.119840507,51.51723554,Camden
hol831,Holland Park,-0.206557775,51.50714615,Kensington and Chelsea
hol925,Holloway Road,-0.112935696,51.55281592,Islington
hor479,Hornchurch,0.218926999,51.55435547,Havering
hou624,Hounslow Central,-0.365958121,51.47092517,Hounslow
hou302,Hounslow East,-0.355275314,51.47370731,Hounslow
hou279,Hounslow West,-0.38570762,51.47310509,Hounslow
hyd545,Hyde Park Corner,-0.152474113,51.50258377,City of Westminster
ick711,Ickenham,-0.441579501,51.56082433,Hillingdon
ken612,Kennington,-0.105070613,51.48866229,Southwark
ken929,Kensal Green,-0.224713381,51.53052385,Brent
ken987,Kensington (Olympia),-0.21037924,51.49787936,Kensington and Chelsea
ken954,Kentish Town,-0.140471263,51.55000929,Camden
ken860,Kenton,-0.315216861,51.58149577,Brent
kew260,Kew Gardens,-0.285381007,51.47678867,Richmond
kil436,Kilburn,-0.204632717,51.5469441,Brent
kil584,Kilburn Park,-0.193966055,51.53513522,Brent
kin366,King's Cross St. Pancras,-0.1243,51.5313,Camden
kin287,Kingsbury,-0.278601604,51.58487606,Brent
kni875,Knightsbridge,-0.160664485,51.50135464,Kensington and Chelsea
lad852,Ladbroke Grove,-0.21019817,51.51721033,Kensington and Chelsea
lam982,Lambeth North,-0.11176826,51.49912977,Lambeth
lan850,Lancaster Gate,-0.175429927,51.51189066,City of Westminster
lat716,Latimer Road,-0.217459663,51.51395774,Kensington and Chelsea
lei771,Leicester Square,-0.128242147,51.51129097,City of Westminster
ley888,Leyton,-0.006465332,51.55813226,Waltham Forest
ley250,Leytonstone,0.009140452,51.56852231,Waltham Forest
liv579,Liverpool Street,-0.082249622,51.51759813,City of London
lon343,London Bridge,-0.086005598,51.50467421,Southwark
lou703,Loughton,0.055279079,51.64157057,Epping Forest
mai827,Maida Vale,-0.185432645,51.52999476,City of Westminster
man137,Manor House,-0.095684976,51.57074699,Hackney
man155,Mansion House,-0.094197657,51.5120916,City of London
mar960,Marble Arch,-0.158571215,51.51396523,City of Westminster
mar700,Marylebone,-0.163492562,51.5223964,City of Westminster
