Station,Annual Visitors,,,,,,,,,,,,
Kensington (Olympia)               ,1.88,,,,,,,,,,,,
Kentish Town                       ,6.45,,,,,,,,,,,,
Kenton                             ,2.02,,,,,,,,,,,,
Kew Gardens                        ,3.52,,,,,,,,,,,,
Kilburn                            ,7.79,,,,,,,,,,,,
Kilburn Park                       ,3.48,,,,,,,,,,,,
King's Cross St. Pancras           ,84.87,,,,,,,,,,,,
Kingsbury                          ,4.12,,,,,,,,,,,,
Knightsbridge                      ,21.47,,,,,,,,,,,,
Ladbroke Grove                     ,5.67,,,,,,,,,,,,
Lambeth North                      ,3.02,,,,,,,,,,,,
Lancaster Gate                     ,6.79,,,,,,,,,,,,
Latimer Road                       ,2.19,,,,,,,,,,,,
Leicester Square                   ,38.60,,,,,,,,,,,,
Leyton                             ,13.53,,,,,,,,,,,,
Leytonstone                        ,10.38,,,,,,,,,,,,
Liverpool Street                   ,67.89,,,,,,,,,,,,
London Bridge                      ,69.88,,,,,,,,,,,,
Loughton                           ,3.17,,,,,,,,,,,,
Maida Vale                         ,3.35,,,,,,,,,,,,
Manor House                        ,9.26,,,,,,,,,,,,
Mansion House                      ,5.77,,,,,,,,,,,,
Marble Arch                        ,16.36,,,,,,,,,,,,
Marylebone                         ,13.40,,,,,,,,,,,,
Mile End                           ,14.37,,,,,,,,,,,,
Mill Hill East                     ,1.17,,,,,,,,,,,,
Moor Park                          ,0.82,,,,,,,,,,,,
Moorgate                           ,21.38,,,,,,,,,,,,
Morden                             ,7.70,,,,,,,,,,,,
Mornington Crescent                ,4.65,,,,,,,,,,,,
Neasden                            ,3.11,,,,,,,,,,,,
Newbury Park                       ,4.40,,,,,,,,,,,,
North Acton                        ,5.47,,,,,,,,,,,,
North Ealing                       ,0.86,,,,,,,,,,,,
North Greenwich                    ,22.40,,,,,,,,,,,,
North Harrow                       ,1.69,,,,,,,,,,,,
North Wembley                      ,1.65,,,,,,,,,,,,
Northfields                        ,4.10,,,,,,,,,,,,
Northolt                           ,4.61,,,,,,,,,,,,
Northwick Park                     ,3.95,,,,,,,,,,,,
Northwood                          ,2.28,,,,,,,,,,,,
Northwood Hills                    ,1.48,,,,,,,,,,,,
Notting Hill Gate                  ,17.39,,,,,,,,,,,,
Oakwood                            ,2.79,,,,,,,,,,,,
Old Street                         ,21.86,,,,,,,,,,,,
Osterley                           ,2.32,,,,,,,,,,,,
Oval                               ,5.91,,,,,,,,,,,,
Oxford Circus                      ,85.25,,,,,,,,,,,,
Paddington                         ,49.71,,,,,,,,,,,,
Park Royal                         ,1.64,,,,,,,,,,,,
Parsons Green                      ,6.45,,,,,,,,,,,,
Perivale                           ,2.24,,,,,,,,,,,,
Piccadilly Circus                  ,41.70,,,,,,,,,,,,
Pimlico                            ,10.21,,,,,,,,,,,,
Pinner                             ,2.61,,,,,,,,,,,,
Plaistow                           ,6.25,,,,,,,,,,,,
Preston Road                       ,3.15,,,,,,,,,,,,
Putney Bridge                      ,5.92,,,,,,,,,,,,
Queen's Park                       ,5.58,,,,,,,,,,,,
Queensbury                         ,3.85,,,,,,,,,,,,
Queensway                          ,8.58,,,,,,,,,,,,
Ravenscourt Park                   ,2.77,,,,,,,,,,,,
Rayners Lane                       ,4.08,,,,,,,,,,,,
Redbridge                          ,2.67,,,,,,,,,,,,
Regent's Park                      ,3.79,,,,,,,,,,,,
Richmond                           ,7.95,,,,,,,,,,,,
Rickmansworth                      ,2.24,,,,,,,,,,,,
Roding Valley                      ,0.24,,,,,,,,,,,,
Royal Oak                          ,2.43,,,,,,,,,,,,
Ruislip                            ,1.71,,,,,,,,,,,,
Ruislip Gardens                    ,1.00,,,,,,,,,,,,
Ruislip Manor                      ,1.77,,,,,,,,,,,,
Russell Square                     ,12.95,,,,,,,,,,,,
Seven Sisters                      ,14.46,,,,,,,,,,,,
Shepherd's Bush (Cen)              ,22.87,,,,,,,,,,,,
Shepherd's Bush (H&C)              ,3.44,,,,,,,,,,,,
Sloane Square                      ,16.56,,,,,,,,,,,,
Snaresbrook                        ,2.59,,,,,,,,,,,,
South Ealing                       ,3.48,,,,,,,,,,,,
South Harrow                       ,2.29,,,,,,,,,,,,
South Kensington                   ,32.75,,,,,,,,,,,,
South Kenton                       ,1.02,,,,,,,,,,,,
South Ruislip                      ,1.77,,,,,,,,,,,,
South Wimbledon                    ,3.79,,,,,,,,,,,,
South Woodford                     ,4.59,,,,,,,,,,,,
Southfields                        ,5.79,,,,,,,,,,,,
Southgate                          ,5.39,,,,,,,,,,,,
Southwark                          ,13.46,,,,,,,,,,,,
St. James's Park                   ,14.73,,,,,,,,,,,,
St. John's Wood                    ,7.27,,,,,,,,,,,,
St. Paul's                         ,16.44,,,,,,,,,,,,
Stamford Brook                     ,2.66,,,,,,,,,,,,
Stanmore                           ,3.54,,,,,,,,,,,,
Stepney Green                      ,5.00,,,,,,,,,,,,
Stockwell                          ,9.42,,,,,,,,,,,,
Stonebridge Park                   ,2.54,,,,,,,,,,,,
Stratford                          ,54.50,,,,,,,,,,,,
Sudbury Hill                       ,2.01,,,,,,,,,,,,
Sudbury Town                       ,1.98,,,,,,,,,,,,
Swiss Cottage                      ,7.83,,,,,,,,,,,,
Temple                             ,7.92,,,,,,,,,,,,
Theydon Bois                       ,0.82,,,,,,,,,,,,
Tooting Bec                        ,6.90,,,,,,,,,,,,
Tooting Broadway                   ,13.51,,,,,,,,,,,,
Tottenham Court Road               ,38.06,,,,,,,,,,,,
Tottenham Hale                     ,10.32,,,,,,,,,,,,
Totteridge & Whetstone             ,1.95,,,,,,,,,,,,
Tower Hill                         ,23.41,,,,,,,,,,,,
Tufnell Park                       ,3.94,,,,,,,,,,,,
Turnham Green                      ,6.20,,,,,,,,,,,,
Turnpike Lane                      ,10.29,,,,,,,,,,,,
Upminster                          ,4.96,,,,,,,,,,,,
Upminster Bridge                   ,1.10,,,,,,,,,,,,
Upney                              ,2.30,,,,,,,,,,,,
Upton Park                         ,10.48,,,,,,,,,,,,
Uxbridge                           ,7.59,,,,,,,,,,,,
Vauxhall                           ,25.15,,,,,,,,,,,,
Victoria                           ,84.58,,,,,,,,,,,,
Walthamstow Central                ,16.68,,,,,,,,,,,,
Wanstead                           ,2.73,,,,,,,,,,,,
Warren Street                      ,17.60,,,,,,,,,,,,
Warwick Avenue                     ,4.62,,,,,,,,,,,,
Waterloo                           ,89.40,,,,,,,,,,,,
Watford                            ,1.66,,,,,,,,,,,,
Wembley Central                    ,4.59,,,,,,,,,,,,
Wembley Park                       ,11.74,,,,,,,,,,,,
West Acton                         ,1.69,,,,,,,,,,,,
West Brompton                      ,4.61,,,,,,,,,,,,
West Finchley                      ,1.37,,,,,,,,,,,,
West Ham                           ,3.40,,,,,,,,,,,,
West Hampstead                     ,10.16,,,,,,,,,,,,
West Harrow                        ,1.13,,,,,,,,,,,,
West Kensington                    ,5.04,,,,,,,,,,,,
West Ruislip                       ,1.60,,,,,,,,,,,,
Westbourne Park                    ,3.73,,,,,,,,,,,,
Westminster                        ,23.50,,,,,,,,,,,,
White City                         ,7.22,,,,,,,,,,,,
Whitechapel                        ,14.45,,,,,,,,,,,,
Willesden Green                    ,8.56,,,,,,,,,,,,
Willesden Junction                 ,4.17,,,,,,,,,,,,
Wimbledon                          ,14.20,,,,,,,,,,,,
Wimbledon Park                     ,2.13,,,,,,,,,,,,
Wood Green                         ,12.44,,,,,,,,,,,,
Wood Lane                          ,3.44,,,,,,,,,,,,
Woodford                           ,5.59,,,,,,,,,,,,
Woodside Park                      ,2.63,,,,,,,,,,,,
