match_id,player_name,sets,balls_bowled,runs_conceded,how_many_out,extras
137,A Shrubsole,4.0,20,22,1,0
137,C Nicholas,3.0,15,29,0,0
137,CL Tryon,4.0,20,31,1,0
137,FR Davies,4.0,21,29,3,1
137,GA Elwiss,4.0,20,25,2,0
137,GL Adams,4.0,20,22,2,0
137,K Moore,4.0,21,24,0,1
137,LK Bell,4.0,23,44,1,4
137,S Ismail,4.0,20,19,3,0
137,SIR Dunkley,2.0,10,12,0,0
138,A Wellington,4.0,20,21,0,0
138,AN Davidson-Richards,3.0,15,23,3,0
138,DJS Dottin,2.0,12,16,1,2
138,FMK Morris,4.0,20,19,1,0
138,G Ballinger,2.0,12,14,1,2
138,G Wareham,4.0,20,22,0,0
138,KE Bryce,3.0,15,24,1,0
138,KL Cross,3.0,16,17,1,2
138,KL George,1.0,5,18,0,0
138,LCN Smith,3.0,16,25,1,1
138,LF Higham,1.0,5,5,1,0
138,M Gaur,2.0,11,18,1,1
138,S Ecclestone,4.0,20,17,1,0
139,A Capsey,1.0,5,9,0,0
139,E Gray,4.0,21,26,0,1
139,EA Burns,4.0,20,30,0,0
139,EL Arlott,1.0,5,13,0,0
139,HL Baker,4.0,20,20,2,0
139,IECM Wong,1.0,6,14,0,2
139,KA Levick,4.0,20,19,2,0
139,M Kapp,4.0,20,16,0,0
139,MK Villiers,1.0,5,7,0,0
139,PJ Scholfield,4.0,20,30,3,0
139,R MacDonald-Gay,4.0,21,28,3,2
139,SFM Devine,2.0,10,14,0,0
139,Sophia Smale,2.0,10,15,0,0
139,T Flintoff,4.0,22,30,1,2
140,A Griffiths,4.0,21,25,0,1
140,A Hartley,3.0,15,28,1,0
140,A King,4.0,20,16,1,0
140,A Stonehouse,4.0,20,31,0,0
140,BF Smith,4.0,21,52,0,2
140,C Nicholas,3.0,15,23,0,0
140,CM McCarthy,2.0,11,24,0,1
140,FR Davies,4.0,20,19,2,0
140,KL Gordon,4.0,20,27,2,0
140,ND Dattani,2.0,11,27,0,1
140,S Ismail,4.0,20,23,1,0
140,SIR Dunkley,2.0,10,16,1,0
141,A Capsey,2.0,10,18,0,0
141,AC Kerr,4.0,20,16,4,0
141,CE Dean,4.0,20,20,2,0
141,DR Gibson,2.0,10,6,1,0
141,E Gray,1.0,7,10,0,2
141,L Filer,3.0,15,16,0,0
141,M Kapp,4.0,20,13,3,0
141,MK Villiers,4.0,21,20,2,2
141,PJ Scholfield,2.0,11,15,0,2
141,R MacDonald-Gay,4.2,22,23,2,2
141,S Glenn,4.0,20,20,1,0
141,Sophia Smale,3.0,15,15,2,0
141,TG Norris,3.0,16,19,2,1
142,A Shrubsole,4.0,21,30,2,2
142,AH Maqsood,1.0,5,10,0,0
142,CL Tryon,4.0,20,22,0,0
142,EA Burns,4.0,20,18,1,0
142,EL Arlott,3.0,16,22,2,2
142,GL Adams,4.0,20,25,2,0
142,HL Baker,4.0,20,24,0,0
142,K Moore,4.0,21,24,1,1
142,KA Levick,4.0,20,23,1,0
142,LK Bell,4.0,24,27,3,4
142,SFM Devine,1.0,7,9,0,2
142,T Flintoff,3.0,17,21,0,3
143,A King,4.0,20,12,1,0
143,A Stonehouse,4.0,24,27,1,6
143,A Wellington,2.0,10,21,0,0
143,BF Smith,4.0,20,27,1,0
143,FMK Morris,2.0,10,11,0,0
143,KE Bryce,1.0,5,9,0,0
143,KH Brunt,4.0,21,20,1,1
143,KL Gordon,4.0,20,18,1,0
143,M Gaur,4.0,20,30,0,0
143,S Ecclestone,3.8,19,34,1,0
144,AC Kerr,4.0,20,24,2,0
144,AN Davidson-Richards,3.0,15,22,1,0
144,CE Dean,3.8,20,22,0,2
144,DR Gibson,2.0,12,22,0,2
144,G Ballinger,4.0,20,20,1,0
144,G Wareham,4.0,20,34,3,0
144,KL Cross,4.0,20,27,0,0
144,L Filer,4.0,22,32,1,2
144,LCN Smith,3.0,17,16,1,3
144,LF Higham,2.0,10,14,1,0
144,S Glenn,4.0,20,19,3,0
144,TG Norris,2.0,10,17,0,0
145,A King,4.0,20,23,2,0
145,A Stonehouse,4.0,21,20,0,2
145,BF Smith,4.0,20,34,0,0
145,C Brewer,2.0,11,26,0,1
145,EA Burns,1.0,5,7,0,0
145,EL Arlott,4.0,20,15,3,0
145,HL Baker,4.0,20,21,0,0
145,KA Levick,4.0,20,30,2,0
145,KH Brunt,4.0,21,32,0,1
145,KL Gordon,4.0,20,20,2,0
145,SFM Devine,3.0,16,19,1,1
145,T Flintoff,2.0,12,13,0,6
146,A Shrubsole,3.0,16,19,1,1
146,CL Tryon,4.0,20,19,0,0
146,E Gray,2.2,11,23,0,0
146,GL Adams,4.0,21,23,2,1
146,K Moore,4.0,20,25,1,0
146,LK Bell,4.0,23,35,1,5
146,M Brown,1.0,6,8,1,1
146,M Kapp,4.0,22,18,1,3
146,MK Villiers,3.0,15,25,0,0
146,N de Klerk,3.0,16,20,1,1
146,PJ Scholfield,4.0,22,25,1,2
146,R MacDonald-Gay,1.0,7,9,0,2
146,Sophia Smale,2.0,10,10,0,0
147,A Wellington,4.0,20,17,2,0
147,AN Davidson-Richards,3.0,16,24,0,1
147,EL Lamb,2.0,10,9,0,0
147,FMK Morris,4.0,20,16,1,0
147,G Ballinger,2.0,10,12,0,0
147,G Wareham,4.0,20,7,3,0
147,KE Bryce,4.0,21,19,3,1
147,KL Cross,4.0,21,25,1,1
147,LCN Smith,4.0,20,22,1,0
147,LF Higham,2.8,14,17,2,0
147,M Gaur,3.0,17,21,2,3
147,PC Graham,2.0,11,17,0,1
147,S Ecclestone,1.0,5,7,0,0
148,A Griffiths,2.0,10,19,0,0
148,A Hartley,3.0,15,20,1,0
148,AC Kerr,4.0,21,27,2,1
148,C Nicholas,4.0,20,21,1,0
148,CE Dean,4.0,20,31,0,0
148,DR Gibson,1.0,6,14,0,2
148,FR Davies,4.0,22,35,1,6
148,L Filer,1.0,7,11,0,3
148,S Glenn,4.0,20,24,0,0
148,S Ismail,4.0,20,26,2,0
148,S Munro,3.0,17,24,2,3
148,SIR Dunkley,3.0,16,15,2,1
148,TG Norris,3.0,15,29,0,0
149,A King,4.0,20,36,0,0
149,A Stonehouse,4.0,22,39,2,4
149,BF Smith,4.0,21,32,1,1
149,CM McCarthy,2.0,12,9,0,3
149,E Gray,2.0,10,12,1,0
149,KL Gordon,4.0,20,19,2,0
149,M Kapp,4.0,21,27,1,1
149,N de Klerk,4.0,21,35,1,1
149,ND Dattani,2.0,11,14,1,1
149,PJ Scholfield,4.0,20,31,2,0
149,R MacDonald-Gay,2.0,11,20,0,2
149,Sophia Smale,4.0,20,26,3,0
150,A Griffiths,1.0,5,8,0,0
150,A Hartley,3.0,16,23,1,1
150,AN Davidson-Richards,4.0,22,29,2,3
150,C Nicholas,4.0,21,20,1,1
150,FR Davies,4.0,21,32,1,1
150,G Ballinger,4.0,21,28,3,5
150,G Wareham,4.0,21,28,0,2
150,GA Elwiss,2.0,10,16,0,0
150,HJ Armitage,1.4,11,19,0,6
150,KL Cross,4.0,21,19,2,2
150,LF Higham,2.6,13,5,1,0
150,S Ismail,4.0,20,26,0,0
150,SIR Dunkley,2.0,10,14,1,0
151,A Shrubsole,4.0,21,33,2,1
151,A Wellington,4.0,20,28,0,0
151,CL Tryon,4.0,20,24,0,0
151,DN Wyatt,1.0,5,4,0,0
