match_id,date,home_team,away_team,city,venue,competition,toss_winner,toss_decision,bat_first,winner,by
155,2023-08-04,Welsh Fire,Southern Brave,Southampton,The Rose Bowl,male,Welsh Fire,field,Southern Brave,Southern Brave,2 runs
156,2023-08-05,London Spirit,Manchester Originals,Manchester,Old Trafford,male,London Spirit,field,Manchester Originals,,no result
157,2023-08-06,Southern Brave,Northern Superchargers,Southampton,The Rose Bowl,male,Southern Brave,field,Northern Superchargers,Northern Superchargers,60 runs
158,2023-08-06,Oval Invincibles,Welsh Fire,London,Kennington Oval,male,Welsh Fire,bat,Welsh Fire,,no result
159,2023-08-07,Birmingham Phoenix,Manchester Originals,Manchester,Old Trafford,male,Birmingham Phoenix,field,Manchester Originals,Manchester Originals,49 runs
160,2023-08-08,London Spirit,Southern Brave,London,Lord's,male,London Spirit,field,Southern Brave,,no result
161,2023-08-09,Trent Rockets,Northern Superchargers,Nottingham,Trent Bridge,male,Trent Rockets,field,Northern Superchargers,Northern Superchargers,3 runs
162,2023-08-09,Manchester Originals,Oval Invincibles,London,Kennington Oval,male,Manchester Originals,field,Oval Invincibles,Oval Invincibles,94 runs
163,2023-08-10,Welsh Fire,Birmingham Phoenix,Birmingham,Edgbaston,male,Birmingham Phoenix,bat,Birmingham Phoenix,Welsh Fire,6 wickets
164,2023-08-11,Northern Superchargers,Oval Invincibles,Leeds,Headingley,male,Oval Invincibles,bat,Oval Invincibles,Oval Invincibles,9 runs
165,2023-08-12,Trent Rockets,London Spirit,London,Lord's,male,Trent Rockets,field,London Spirit,London Spirit,2 runs
166,2023-08-12,Southern Brave,Welsh Fire,Cardiff,Sophia Gardens,male,Southern Brave,field,Welsh Fire,Southern Brave,9 wickets
167,2023-08-13,Northern Superchargers,Manchester Originals,Leeds,Headingley,male,Manchester Originals,bat,Manchester Originals,Manchester Originals,40 runs
168,2023-08-13,Oval Invincibles,Birmingham Phoenix,Birmingham,Edgbaston,male,Oval Invincibles,field,Birmingham Phoenix,Birmingham Phoenix,41 runs
169,2023-08-14,Welsh Fire,Trent Rockets,Cardiff,Sophia Gardens,male,Welsh Fire,field,Trent Rockets,Trent Rockets,4 runs
170,2023-08-15,London Spirit,Oval Invincibles,London,Kennington Oval,male,Oval Invincibles,bat,Oval Invincibles,Oval Invincibles,2 runs
171,2023-08-16,Southern Brave,Birmingham Phoenix,Southampton,The Rose Bowl,male,Birmingham Phoenix,bat,Birmingham Phoenix,Southern Brave,4 wickets
172,2023-08-17,Trent Rockets,Manchester Originals,Nottingham,Trent Bridge,male,Trent Rockets,field,Manchester Originals,Manchester Originals,10 runs
173,2023-08-18,Northern Superchargers,London Spirit,London,Lord's,male,Northern Superchargers,field,London Spirit,London Spirit,13 runs
174,2023-08-19,Birmingham Phoenix,Trent Rockets,Nottingham,Trent Bridge,male,Birmingham Phoenix,field,Trent Rockets,Trent Rockets,46 runs
175,2023-08-19,Southern Brave,Oval Invincibles,Southampton,The Rose Bowl,male,Oval Invincibles,bat,Oval Invincibles,Oval Invincibles,8 runs
176,2023-08-20,Northern Superchargers,Manchester Originals,Manchester,Old Trafford,male,Manchester Originals,bat,Manchester Originals,Manchester Originals,81 runs
177,2023-08-20,Welsh Fire,London Spirit,Cardiff,Sophia Gardens,male,London Spirit,bat,London Spirit,Welsh Fire,6 wickets
178,2023-08-21,Oval Invincibles,Trent Rockets,London,Kennington Oval,male,Trent Rockets,bat,Trent Rockets,Oval Invincibles,5 wickets
