match_id,player_name,balls_faced,runs_scored,out,catches
137,GL Adams,24,40,1,1
137,K Moore,1,0,1,0
137,L Harris,8,19,1,0
137,M Brown,6,5,1,0
137,ME Bouchier,27,42,1,1
137,S Mandhana,30,41,1,1
137,SIR Dunkley,34,50,1,0
137,SJ Bryce,38,44,1,0
137,TT Beaumont,9,10,1,1
138,A Campbell,2,0,1,0
138,A Wellington,3,5,0,0
138,AN Davidson-Richards,4,11,0,0
138,BAM Heath,11,20,1,1
138,DJS Dottin,21,27,1,1
138,EL Lamb,37,49,2,1
138,FMK Morris,3,1,1,1
138,G Wareham,12,12,0,0
138,HJ Armitage,19,17,1,1
138,JI Rodrigues,16,9,1,1
138,KL George,2,1,1,1
138,L Wolvaardt,6,5,0,0
138,M Kelly,12,22,0,0
138,P Litchfield,29,39,2,0
138,S Ecclestone,10,13,1,0
139,A Capsey,1,0,1,1
139,AE Jones,5,2,1,1
139,CL Griffith,3,2,1,0
139,E Jones,3,2,0,0
139,EA Burns,13,17,1,0
139,IECM Wong,9,18,2,1
139,L Winfield,34,41,1,1
139,M Kapp,40,64,0,0
139,MK Villiers,1,3,0,0
139,PJ Scholfield,9,17,1,0
139,SFM Devine,35,53,1,1
139,SL Kalis,4,9,0,0
139,SW Bates,15,9,1,0
139,T Flintoff,33,27,1,0
140,BF Smith,21,48,1,1
140,FC Wilson,8,6,1,1
140,H Kaur,24,22,0,0
140,J Gardner,9,14,1,0
140,L Harris,1,0,1,1
140,L Lee,24,26,1,1
140,ND Dattani,7,7,0,0
140,NR Sciver,8,10,1,0
140,SIR Dunkley,19,24,1,0
140,SJ Bryce,20,31,0,0
140,TT Beaumont,63,118,1,1
141,A Capsey,7,11,1,1
141,AC Kerr,10,9,1,0
141,AZ Monaghan,2,0,1,0
141,CE Dean,11,13,1,1
141,CL Griffith,4,7,0,0
141,DR Gibson,14,22,1,0
141,E Gray,1,0,1,0
141,GM Harris,1,1,1,0
141,HC Knight,12,10,1,0
141,KM Chathli,3,1,1,1
141,L Filer,13,21,0,0
141,L Winfield,9,3,1,1
141,M Kapp,24,30,1,1
141,MK Villiers,10,11,2,0
141,N Holland,2,0,1,0
141,PJ Scholfield,3,2,1,1
141,R MacDonald-Gay,3,2,1,0
141,RM Ghosh,10,2,1,1
141,S Glenn,17,17,1,1
141,SW Bates,35,24,1,1
141,Sophia Smale,2,5,0,0
141,TG Norris,14,11,0,0
142,AE Jones,23,33,1,0
