match_id,innings,ball_no,batting_team,bowling team,batter,bowler,non_batter,runs,extras,extra_type,total_runs,wicket,how_out,catcher
1,1,54,Oval Invincibles,Manchester Originals,SW Billings,CR Brathwaite,CA Ingram,1,0,False,1,False,False,False
1,1,55,Oval Invincibles,Manchester Originals,CA Ingram,CR Brathwaite,SW Billings,1,0,False,1,False,False,False
1,1,56,Oval Invincibles,Manchester Originals,SW Billings,FJ Klaassen,CA Ingram,1,0,False,1,False,False,False
1,1,57,Oval Invincibles,Manchester Originals,CA Ingram,FJ Klaassen,SW Billings,0,0,False,0,False,False,False
1,1,58,Oval Invincibles,Manchester Originals,CA Ingram,FJ Klaassen,SW Billings,1,0,False,1,False,False,False
1,1,59,Oval Invincibles,Manchester Originals,SW Billings,FJ Klaassen,CA Ingram,4,0,False,4,False,False,False
1,1,60,Oval Invincibles,Manchester Originals,SW Billings,FJ Klaassen,CA Ingram,2,0,False,2,False,False,False
1,1,61,Oval Invincibles,Manchester Originals,CA Ingram,CG Harrison,SW Billings,1,0,False,1,False,False,False
1,1,62,Oval Invincibles,Manchester Originals,SW Billings,CG Harrison,CA Ingram,1,0,False,1,False,False,False
1,1,63,Oval Invincibles,Manchester Originals,CA Ingram,CG Harrison,SW Billings,1,0,False,1,False,False,False
1,1,64,Oval Invincibles,Manchester Originals,SW Billings,CG Harrison,CA Ingram,1,0,False,1,False,False,False
1,1,65,Oval Invincibles,Manchester Originals,CA Ingram,CG Harrison,SW Billings,1,0,False,1,False,False,False
1,1,66,Oval Invincibles,Manchester Originals,SW Billings,CG Harrison,CA Ingram,1,0,False,1,False,False,False
1,1,67,Oval Invincibles,Manchester Originals,CA Ingram,CG Harrison,SW Billings,1,0,False,1,False,False,False
1,1,68,Oval Invincibles,Manchester Originals,SW Billings,CG Harrison,CA Ingram,0,0,False,0,False,False,False
1,1,69,Oval Invincibles,Manchester Originals,SW Billings,CG Harrison,CA Ingram,6,0,False,6,False,False,False
1,1,70,Oval Invincibles,Manchester Originals,SW Billings,CG Harrison,CA Ingram,4,0,False,4,False,False,False
1,1,71,Oval Invincibles,Manchester Originals,CA Ingram,ST Finn,SW Billings,0,0,False,0,True,caught,CR Brathwaite
1,1,72,Oval Invincibles,Manchester Originals,LJ Evans,ST Finn,SW Billings,0,0,False,0,False,False,False
1,1,73,Oval Invincibles,Manchester Originals,LJ Evans,ST Finn,SW Billings,0,0,False,0,True,caught,PD Salt
1,1,74,Oval Invincibles,Manchester Originals,TK Curran,ST Finn,SW Billings,4,0,False,4,False,False,False
1,1,75,Oval Invincibles,Manchester Originals,TK Curran,ST Finn,SW Billings,4,0,False,4,False,False,False
1,1,76,Oval Invincibles,Manchester Originals,TK Curran,MW Parkinson,SW Billings,1,0,False,1,False,False,False
1,1,77,Oval Invincibles,Manchester Originals,SW Billings,MW Parkinson,TK Curran,0,0,False,0,False,False,False
1,1,78,Oval Invincibles,Manchester Originals,SW Billings,MW Parkinson,TK Curran,1,0,False,1,False,False,False
1,1,79,Oval Invincibles,Manchester Originals,TK Curran,MW Parkinson,SW Billings,0,0,False,0,False,False,False
1,1,80,Oval Invincibles,Manchester Originals,TK Curran,MW Parkinson,SW Billings,1,0,False,1,False,False,False
